rowid,studyid,site,year,phenodiff,phenodiffunits,phenodiffmethod,phenodiffvar,phenofreq,genus,species,phenophase1,phenomethod1,genus2,species2,phenophase2,phenomethod2,fitnesscomp,fitnessunit,fitnessmethod,gender,fitnessvalue,fitnessvaluevar,fitnesstype,notes,,,,,,,,,,,,
3955,AO001,NA,1982.95,57.408,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.830529,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3956,AO001,NA,1983.97,39.86,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,1.16016,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3957,AO001,NA,1984.99,17.857,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,1.39689,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3958,AO001,NA,1985.94,13.707,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,2.56214,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3959,AO001,NA,1986.96,8.195,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,2.292,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3960,AO001,NA,1987.99,7.468,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,1.85702,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3961,AO001,NA,1989.01,20.3643,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.861954,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3962,AO001,NA,1989.96,17.6167,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.525327,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3963,AO001,NA,1991.05,-1.81,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,1.20405,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3964,AO001,NA,1992.07,40.5947,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,1.11786,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3965,AO001,NA,1993.02,49.29,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,1.14588,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3966,AO001,NA,1994.04,24.183,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,1.50459,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3967,AO001,NA,1995.14,19.908,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.939979,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3968,AO001,NA,1996.09,17.143,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,1.70288,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3969,AO001,NA,1997.04,65.757,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.939979,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3970,AO001,NA,1998.06,51.1856,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.458448,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3971,AO001,NA,1999.01,48.7961,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.308494,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3972,AO001,NA,2000.03,66.5641,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.114588,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3973,AO001,NA,2001.05,17.56,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.289978,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3974,AO001,NA,1972.88,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.487722,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3975,AO001,NA,1973.9,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.324155,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3976,AO001,NA,1974.92,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.246873,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3977,AO001,NA,1975.87,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.353498,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3978,AO001,NA,1976.89,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.371443,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3979,AO001,NA,1977.91,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.499948,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3980,AO001,NA,1978.93,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.580017,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3981,AO001,NA,1979.96,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,1.05076,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3982,AO001,NA,1980.98,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.80025,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3983,AO001,NA,1981.93,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,1.66123,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3984,AO001,NA,1982.95,136.12,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.830529,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3985,AO001,NA,1983.97,100.215,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,1.16016,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3986,AO001,NA,1984.99,114.187,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,1.39689,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3987,AO001,NA,1985.94,94.224,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,2.56214,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3988,AO001,NA,1986.96,113.766,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,2.292,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3989,AO001,NA,1987.99,102.32,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,1.85702,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3990,AO001,NA,1989.01,122.4693,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.861954,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3991,AO001,NA,1989.96,110.5187,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.525327,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3992,AO001,NA,1991.05,79.555,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,1.20405,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3993,AO001,NA,1992.07,74.9127,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,1.11786,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3994,AO001,NA,1993.02,77.347,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,1.14588,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3995,AO001,NA,1994.04,72.273,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,1.50459,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3996,AO001,NA,1995.14,137.471,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.939979,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3997,AO001,NA,1996.09,98.164,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,1.70288,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3998,AO001,NA,1997.04,120.169,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.939979,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
3999,AO001,NA,1998.06,79.6756,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.458448,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
4000,AO001,NA,1999.01,102.7861,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.308494,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
4001,AO001,NA,2000.03,79.4621,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.114588,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
4002,AO001,NA,2001.05,44.584,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Crangon,crangon,peak predation pressure,derived from normal density function,reproductive output (eggs m2),log,,,0.289978,SE available,reproductive,I calculated mismatch; biomass also available,,,,,,,,,,,,
4003,AO001,NA,1972.88,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,71.3137,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4004,AO001,NA,1973.9,-59.293,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,33.7893,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4005,AO001,NA,1974.92,-15.658,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,173.224,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4006,AO001,NA,1975.87,1.655,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,50.3943,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4007,AO001,NA,1976.89,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,68.0502,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4008,AO001,NA,1977.91,-26.073,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,247.258,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4009,AO001,NA,1978.93,-21.922,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,655.211,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4010,AO001,NA,1979.96,-47.191,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,20.044,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4011,AO001,NA,1980.98,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,40.4446,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4012,AO001,NA,1981.93,-41.768,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,172.074,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4013,AO001,NA,1982.95,-57.408,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,82.7048,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4014,AO001,NA,1983.97,-39.86,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,155.338,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4015,AO001,NA,1984.99,-17.857,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,322.563,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4016,AO001,NA,1985.94,-13.707,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,128.657,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4017,AO001,NA,1986.96,-8.195,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,241.634,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4018,AO001,NA,1987.99,-7.468,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,31.0312,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4019,AO001,NA,1989.01,-20.3643,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,85.8506,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4020,AO001,NA,1989.96,-17.6167,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,77.5783,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4021,AO001,NA,1991.05,1.81,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,1085.66,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4022,AO001,NA,1992.07,-40.5947,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,85.606,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4023,AO001,NA,1993.02,-49.29,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,37.7517,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4024,AO001,NA,1994.04,-24.183,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,58.8421,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4025,AO001,NA,1995.14,-19.908,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,44.1232,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4026,AO001,NA,1996.09,-17.143,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,108.835,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4027,AO001,NA,1997.04,-65.757,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,28.6341,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
4028,AO001,NA,1998.06,-51.1856,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,recruit density,log,,,47.2669,SE available,demographic,"I calculated mismatch, based on study I did phytoplankton timing- consumer (to get positive mismatch values); biomass also available",,,,,,,,,,,,
