studyid,methodtype,reason for exclusion,search,initialid,Author,Title,Year,Journal,Volume,Number,Month,Pages,Identifier,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
NA,,abiotic mismatch,search1,56,"Chen, Xiao; Jiang, Yuying; Kang, Aiguo & Zhai, Baoping",Drying soil in North China drove the outbreak range expansion of meadow moth by facilitating long-distance migration,{2016},{SCIENTIFIC REPORTS},{6},,{JUL 25},,ISI:000380191300001,,,,,,,,,,,,,,,,,,,
NA,,no phenology data,search1,57,"Chenchouni, Haroun; Bachir, Abdelkrim Si & AlRashidi, Monif",Trophic niche and feeding strategy of the White Stork (Ciconia ciconia) during different phases of the breeding season,{2015},{AVIAN BIOLOGY RESEARCH},{8},{1},,{1-13},ISI:000350269500001,,,,,,,,,,,,,,,,,,,
NA,,previous search (2014); no species or genus level data for second species;  single species study,search1,58,"Cherry, Seth G.; Derocher, Andrew E.; Thiemann, Gregory W. & Lunn, Nicholas J.",Migration phenology and seasonal fidelity of an Arctic marine predator in relation to sea ice dynamics,{2013},{JOURNAL OF ANIMAL ECOLOGY},{82},{4},{JUL},{912-921},ISI:000320388700020,,,,,,,,,,,,,,,,,,,
NA,,no fitness,search1,59,"Chevillot, Xavier; Drouineau, Hilaire; Lambert, Patrick; Carassou, Laure; Sautour, Benoit & Lobry, Jeremy",Toward a phenological mismatch in estuarine pelagic food web?,{2017},{PLOS ONE},{12},{3},{MAR 29},,ISI:000399174600024,,,,,,,,,,,,,,,,,,,
NA,,no phenology data,search1,60,"Choutt, Julie; Turlure, Camille; Baguette, Michel & Schtickzelle, Nicolas",Parasitism cost of living in a high quality habitat in the bog fritillary butterfly,{3117-3131},{BIODIVERSITY AND CONSERVATION},{20},{13, SI},{DEC},ISI:000297170900016,,,,,,,,,,,,,,,,,,,
NA,experiment,,search1,61,"Clark, Mark E. & Reed, Wendy L.",Seasonal interactions between photoperiod and maternal effects determine offspring phenotype in Franklin's gull,{2012},{FUNCTIONAL ECOLOGY},{26},{4},{AUG},{948-958},ISI:000306404100022,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,62,"Clark, Robert G.; Poysa, Hannu; Runko, Pentti & Paasivaara, Antti",Spring phenology and timing of breeding in short-distance migrant birds: phenotypic responses and offspring recruitment patterns in common goldeneyes,{2014},{JOURNAL OF AVIAN BIOLOGY},{45},{5},{SEP},{457-465},ISI:000341706400006,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,63,"Clausen, Kevin Kuhlmann & Clausen, Preben",Earlier Arctic springs cause phenological mismatch in long-distance migrants,{2013},{OECOLOGIA},{173},{3},{NOV},{1101-1112},ISI:000325819700043,,,,,,,,,,,,,,,,,,,
NA,,satellite,search1,64,"Cole, Ella F.; Long, Peter R.; Zelazowski, Przemyslaw; Szulkin, Marta & Sheldon, Ben C.",Predicting bird phenology from space: satellite-derived vegetation green-up signal uncovers spatial variation in phenological synchrony between birds and their environment,{2015},{Ecology and Evolution},{5},{21},{NOV},{5057-5074},ISI:000364341400028,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,65,"Cole, Harriet; Henson, Stephanie; Martin, Adrian & Yool, Andrew",Mind the gap: The impact of missing data on the calculation of phytoplankton phenology metrics,{2012},{JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS},{117},,{AUG 24},,ISI:000308027100003,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,66,"Cooper, Caren B.",Is there a weekend bias in clutch-initiation dates from citizen science? Implications for studies of avian breeding phenology,{2014},{INTERNATIONAL JOURNAL OF BIOMETEOROLOGY},{58},{7},{SEP},{1415-1419},ISI:000340868200002,,,,,,,,,,,,,,,,,,,
NA,,only fitness for 2 years,search1,67,"Costello, J. H.; Sullivan, B. K. & Gifford, D. J.",A physical-biological interaction underlying variable phenological responses to climate change by coastal zooplankton,{2006},{JOURNAL OF PLANKTON RESEARCH},{28},{11},{NOV},{1099-1105},ISI:000241630100011,,,,,,,,,,,,,,,,,,,
NA,,review,search1,68,"Crone, Elizabeth E. & Rapp, Joshua M.","Resource depletion, pollen coupling, and the ecology of mast seeding",{2014},,{1322},,,{21-34},ISI:000340899900002,,,{YEAR IN ECOLOGY AND CONSERVATION BIOLOGY},,,{Annals of the New York Academy of Sciences},"Ostfeld, RS & Power, AG",,,,,,,,,,,,
NA,experiment,,search1,69,"Cumbo, Vivian R.; Edmunds, Peter J.; Wall, Christopher B. & Fan, Tung-Yung",Brooded coral larvae differ in their response to high temperature and elevated pCO(2) depending on the day of release,{2013},{MARINE BIOLOGY},{160},{11},{NOV},{2903-2917},ISI:000326048000010,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,70,"Davis, Charles C.; Willis, Charles G.; Primack, Richard B. & Miller-Rushing, Abraham J.",The importance of phylogeny to the study of phenological response to global climate change,{2010},{PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{365},{1555},{OCT 12},{3201-3213},ISI:000281611800008,,,,,,,,,,,,,,,,,,,
NA,,model,search1,71,"Day, Emma & Kokko, Hanna",Relaxed selection when you least expect it: why declining bird populations might fail to respond to phenological mismatches,{2015},{OIKOS},{124},{1},{JAN},{62-68},ISI:000347052300008,,,,,,,,,,,,,,,,,,,
HMK008,,raw data requested,search1,72,"Dekker, R. & Beukema, J. J.",Phenology of abundance of bivalve spat and of their epibenthic predators: limited evidence for mismatches after cold winters,{2014},{MARINE ECOLOGY PROGRESS SERIES},{513},,{OCT 22},{17-27},ISI:000344394400002,,,,,,,,,,,,,,,,,,,
NA,,conference proceeding,search1,73,"Depaolo, S. E.; Tronstad, L. & Dillon, M. E.","Are early blooming, specialist plants more susceptible to phenological mismatch in changing climates?",{2015},{INTEGRATIVE AND COMPARATIVE BIOLOGY},{55},{1},{APR},{E245},ISI:000352658401261,"{Annual Meeting of the Society-for-Integrative-and-Comparative-Biology (SICB), West Palm Beach, FL, JAN 03-07, 2015}",,,,,,,,,,,,,,,,,,
NA,,previous search (2014); Did not show timing shift for two interacting species; HK- single species study,search1,74,"Dickey, Marie-Helene; Gauthier, Gilles & Cadieux, Marie-Christine",Climatic effects on the breeding phenology and reproductive success of an arctic-nesting goose species,{2008},{GLOBAL CHANGE BIOLOGY},{14},{9},{SEP},{1973-1985},ISI:000258257700002,,,,,,,,,,,,,,,,,,,
NA,,predicted phenology (back-calculations),search1,75,"Diekmann, A. Berenike S.; Clemmesen, Catriona; St John, Michael A.; Paulsen, Matthias & Peck, Myron A.","Environmental cues and constraints affecting the seasonality of dominant calanoid copepods in brackish, coastal waters: a case study of Acartia, Temora and Eurytemora species in the south-west Baltic",{2399-2414},{MARINE BIOLOGY},{159},{11, SI},{NOV},ISI:000310586900004,,,,,,,,,,,,,,,,,,,
NA,,satellite,search1,76,"D'Odorico, Petra; Gonsamo, Alemu; Gough, Christopher M.; Bohrer, Gil; Morison, James; Wilkinson, Matthew; Hanson, Paul J.; Gianelle, Damiano; Fuentes, Jose D. & Buchmann, Nina",The match and mismatch between photosynthesis and land surface phenology of deciduous forests,{2015},{AGRICULTURAL AND FOREST METEOROLOGY},{214},,{DEC 15},{25-38},ISI:000364730000004,,,,,,,,,,,,,,,,,,,
NA,,no phenology data,search1,77,"Doi, Hideyuki & Yurlova, Natalia I.",Host-parasite interactions and global climate oscillations,{2011},{PARASITOLOGY},{138},{8},{JUL},{1022-1028},ISI:000292615100008,,,,,,,,,,,,,,,,,,,
HMK009,,peak nitrogen for plants,search1,78,"Doiron, Madeleine; Gauthier, Gilles & Levesque, Esther",Trophic mismatch and its effects on the growth of young in an Arctic herbivore,{2015},{GLOBAL CHANGE BIOLOGY},{21},{12},{DEC},{4364-4376},ISI:000364777400008,,,,,,,,,,,,,,,,,,,
NA,,"previous search (2014): Modeling study, but has good potential citations that should be checked out",search1,79,"Domis, Lisette N. de Senerpont; Mooij, Wolf M.; Huelsmann, Stephan; van Nes, Egbert H. & Scheffer, Marten",Can overwintering versus diapausing strategy in Daphnia determine match-mismatch events in zooplankton-algae interactions?,{2007},{OECOLOGIA},{150},{4},{JAN},{682-698},ISI:000243002900013,,,,,,,,,,,,,,,,,,,
